wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788200070.485,SynthZone:0015,5,0.6,112.9,122.9,10.0
1788200072.245,SynthZone:0048,5,0.4,109.9,116.1,6.2
1788200090.14,SynthZone:0068,5,0.8,111.5,23173.7,23062.2
1788200090.145,SynthZone:0031,5,0.5,17627.4,17629.4,2.1
1788200090.15,SynthZone:0008,5,0.5,17192.6,17194.7,2.1
1788200090.156,SynthZone:0022,5,0.5,17195.0,17197.3,2.3
1788200090.161,SynthZone:0001,5,1.3,17109.8,17111.5,1.7
1788200093.199,SynthZone:0072,5,0.6,113.8,23569.2,23455.5
1788200093.235,SynthZone:0085,5,1.0,115.2,23469.4,23354.2
1788200096.216,SynthZone:0065,5,1.3,122.6,24813.2,24690.6
1788200098.309,SynthZone:0061,5,0.5,20048.9,25114.6,5065.7
1788200098.312,SynthZone:0052,5,1.7,117.3,26061.7,25944.5
1788200098.323,SynthZone:0005,5,3.0,24767.5,24774.5,7.0
1788200098.324,SynthZone:0020,5,1.1,24768.9,24773.3,4.4
1788200098.344,SynthZone:0059,5,0.8,117.4,27220.0,27102.6
1788200098.345,SynthZone:0099,5,1.5,22810.5,24930.4,2120.0
1788200098.345,SynthZone:0087,5,0.9,17057.6,25240.0,8182.3
1788200098.346,SynthZone:0084,5,0.8,117.1,26274.8,26157.7
1788200098.348,SynthZone:0069,5,0.4,20032.8,25175.7,5142.9
1788200098.349,SynthZone:0038,5,1.0,24559.7,24575.2,15.5
1788200098.357,SynthZone:0086,5,0.9,24661.2,24674.2,13.0
1788200098.364,SynthZone:0018,5,3.8,24137.2,24140.3,3.2
1788200098.365,SynthZone:0088,5,0.6,107.0,25869.3,25762.4
1788200098.372,SynthZone:0023,5,3.0,24388.3,24393.2,4.9
1788200098.378,SynthZone:0066,5,0.7,24237.6,24252.5,14.9
1788200098.379,SynthZone:0019,5,6.2,23650.9,23658.3,7.5
1788200098.387,SynthZone:0030,5,0.9,23504.3,23507.3,3.1
1788200099.351,SynthZone:0077,5,1.4,24010.6,24987.8,977.2
1788200100.321,SynthZone:0073,5,1.4,24411.2,25375.2,964.0
1788200100.331,SynthZone:0045,5,1.7,25130.6,25134.1,3.5
1788200100.418,SynthZone:0057,5,1.3,23446.8,25474.3,2027.6
1788200101.505,SynthZone:0078,5,0.7,24357.3,27504.9,3147.5
1788200101.509,SynthZone:0095,5,0.7,24426.7,27574.0,3147.3
1788200101.517,SynthZone:0032,5,1.4,26127.6,26131.8,4.2
1788200101.52,SynthZone:0013,5,1.8,26016.3,26021.4,5.1
1788200101.528,SynthZone:0017,5,1.9,25986.5,25992.0,5.5
1788200101.53,SynthZone:0046,5,2.8,25895.7,25899.4,3.7
1788200101.538,SynthZone:0028,5,5.3,25685.7,25688.8,3.0
1788200102.579,SynthZone:0082,5,3.0,25868.6,26914.5,1045.9
1788200102.584,SynthZone:0011,5,1.9,26446.6,26448.8,2.2
1788200102.59,SynthZone:0040,5,2.1,26378.9,26381.0,2.1
1788200102.643,SynthZone:0093,5,2.1,24100.7,28384.2,4283.6
1788200103.678,SynthZone:0071,5,0.7,23586.5,28889.8,5303.3
1788200103.685,SynthZone:0037,5,2.4,27186.8,27190.2,3.4
1788200103.692,SynthZone:0050,5,1.1,26982.1,26984.2,2.2
1788200103.698,SynthZone:0029,5,0.6,26930.9,26933.7,2.8
1788200103.703,SynthZone:0027,5,1.2,26903.1,26905.4,2.3
1788200103.71,SynthZone:0009,5,0.6,26785.3,26788.1,2.8
1788200103.712,SynthZone:0063,5,0.8,24109.0,29449.7,5340.7
1788200103.718,SynthZone:0002,5,0.9,26700.3,26703.1,2.8
1788200103.724,SynthZone:0024,5,1.3,26676.8,26679.1,2.3
