wall_clock,entity_id,seq,t_publish_ms,t_orion_ms,t_crate_ms,backlog_ms
1788200822.974,SynthZone:0002,5,1.0,111.6,158.9,47.2
1788200822.975,SynthZone:0004,5,1.5,111.7,240.3,128.7
1788200822.975,SynthZone:0007,5,1.5,119.8,937.7,817.9
1788200823.359,SynthZone:0016,5,1.5,114.7,118.5,3.8
1788200823.371,SynthZone:0043,5,0.9,115.4,119.6,4.2
1788200823.451,SynthZone:0010,5,1.1,115.6,119.7,4.1
1788200824.125,SynthZone:0032,5,0.8,110.6,115.9,5.4
1788200824.177,SynthZone:0005,5,1.0,113.7,117.0,3.4
1788200824.585,SynthZone:0044,5,1.7,115.4,119.7,4.3
1788200824.769,SynthZone:0023,5,1.8,116.9,121.5,4.7
1788200824.924,SynthZone:0048,5,1.4,117.3,124.1,6.8
1788200825.036,SynthZone:0008,5,1.8,121.1,124.5,3.5
1788200825.043,SynthZone:0009,5,2.5,118.7,121.1,2.5
1788200825.052,SynthZone:0037,5,2.0,118.4,120.8,2.4
1788200825.273,SynthZone:0015,5,1.2,114.3,118.8,4.5
1788200825.614,SynthZone:0028,5,1.5,116.0,121.3,5.2
1788200825.715,SynthZone:0019,5,1.4,116.2,120.4,4.2
1788200825.746,SynthZone:0038,5,1.4,116.2,120.7,4.5
1788200825.985,SynthZone:0006,5,0.9,115.1,120.4,5.4
1788200826.299,SynthZone:0027,5,1.0,116.3,120.9,4.6
1788200826.378,SynthZone:0013,5,0.9,114.6,119.0,4.5
1788200826.408,SynthZone:0024,5,1.1,120.1,124.9,4.8
1788200826.848,SynthZone:0035,5,1.1,114.9,119.0,4.1
1788200827.095,SynthZone:0050,5,1.5,111.7,113.7,2.0
1788200827.172,SynthZone:0036,5,0.6,107.1,109.2,2.1
1788200827.226,SynthZone:0049,5,0.6,109.0,113.3,4.4
1788200827.373,SynthZone:0041,5,0.9,111.0,115.1,4.1
1788200827.571,SynthZone:0020,5,0.8,111.3,113.4,2.1
1788200827.591,SynthZone:0033,5,0.8,110.3,113.3,3.0
1788200827.797,SynthZone:0031,5,1.3,113.6,117.5,3.9
1788200827.99,SynthZone:0014,5,0.9,111.7,114.0,2.3
1788200828.146,SynthZone:0030,5,0.7,109.5,113.2,3.6
1788200828.155,SynthZone:0026,5,0.5,108.9,112.7,3.8
1788200828.675,SynthZone:0018,5,1.0,112.7,116.7,3.9
1788200829.329,SynthZone:0029,5,0.9,111.7,113.8,2.2
1788200829.366,SynthZone:0022,5,1.1,115.6,120.0,4.4
1788200829.381,SynthZone:0034,5,0.5,108.8,111.5,2.8
1788200829.555,SynthZone:0003,5,0.7,113.6,118.5,4.9
1788200829.632,SynthZone:0040,5,0.5,107.7,110.0,2.3
1788200829.681,SynthZone:0017,5,1.2,111.5,113.7,2.2
1788200829.765,SynthZone:0039,5,0.5,111.3,116.2,4.9
1788200830.497,SynthZone:0025,5,0.8,114.4,119.6,5.2
1788200830.885,SynthZone:0045,5,1.1,113.7,117.8,4.0
1788200831.007,SynthZone:0046,5,1.0,113.7,118.3,4.6
1788200831.326,SynthZone:0001,5,1.5,114.8,119.3,4.6
1788200831.375,SynthZone:0042,5,1.1,113.2,117.0,3.8
1788200831.416,SynthZone:0047,5,1.2,114.2,117.8,3.5
1788200831.769,SynthZone:0011,5,0.9,115.1,120.1,4.9
1788200832.03,SynthZone:0021,5,1.1,116.7,124.1,7.4
1788200832.031,SynthZone:0012,5,0.9,115.0,120.4,5.4
1788200873.184,SynthZone:0002,10,1.0,114.5,365.5,251.0
1788200873.185,SynthZone:0004,10,1.7,115.9,457.7,341.8
1788200873.185,SynthZone:0007,10,0.9,115.3,1145.5,1030.1
1788200873.364,SynthZone:0016,10,1.2,115.3,120.4,5.1
1788200873.38,SynthZone:0043,10,2.2,120.6,126.6,6.0
1788200873.456,SynthZone:0010,10,1.8,117.1,121.7,4.7
1788200874.124,SynthZone:0032,10,1.4,115.4,119.5,4.1
1788200874.185,SynthZone:0005,10,0.9,114.7,118.9,4.2
1788200874.583,SynthZone:0044,10,1.8,117.1,121.7,4.6
1788200874.764,SynthZone:0023,10,1.0,115.1,119.0,3.8
1788200874.937,SynthZone:0048,10,1.4,120.0,131.0,11.0
1788200875.044,SynthZone:0009,10,2.4,119.8,127.2,7.5
1788200875.047,SynthZone:0008,10,2.6,123.0,129.2,6.2
1788200875.064,SynthZone:0037,10,2.3,127.9,132.8,4.9
1788200875.271,SynthZone:0015,10,1.3,113.9,118.7,4.8
1788200875.616,SynthZone:0028,10,1.3,115.6,120.1,4.6
1788200875.709,SynthZone:0019,10,0.8,114.3,117.7,3.4
1788200875.747,SynthZone:0038,10,1.1,114.6,119.9,5.3
1788200875.989,SynthZone:0006,10,1.3,114.5,118.4,3.9
1788200876.301,SynthZone:0027,10,1.0,118.0,121.5,3.5
1788200876.377,SynthZone:0013,10,0.9,112.9,116.9,4.0
1788200876.404,SynthZone:0024,10,0.8,114.3,118.3,4.0
1788200876.85,SynthZone:0035,10,1.1,114.7,119.2,4.5
1788200877.106,SynthZone:0050,10,0.9,113.4,117.1,3.7
1788200877.173,SynthZone:0036,10,0.7,110.7,113.0,2.2
1788200877.222,SynthZone:0049,10,1.9,114.2,118.0,3.9
1788200877.373,SynthZone:0041,10,1.1,113.7,117.6,3.9
1788200877.577,SynthZone:0020,10,1.6,116.5,119.3,2.8
1788200877.594,SynthZone:0033,10,1.5,113.9,116.6,2.7
1788200877.801,SynthZone:0031,10,1.2,115.6,119.8,4.2
1788200877.992,SynthZone:0014,10,1.5,116.4,119.2,2.8
1788200878.143,SynthZone:0030,10,1.3,114.4,118.2,3.8
1788200878.162,SynthZone:0026,10,1.5,113.3,116.1,2.8
1788200878.671,SynthZone:0018,10,1.2,115.4,119.7,4.3
1788200879.33,SynthZone:0029,10,1.4,115.0,119.5,4.5
1788200879.369,SynthZone:0022,10,1.6,115.4,119.3,3.9
1788200879.393,SynthZone:0034,10,1.0,117.1,122.1,5.0
1788200879.552,SynthZone:0003,10,1.2,114.6,118.4,3.7
1788200879.644,SynthZone:0040,10,1.2,115.7,119.9,4.2
1788200879.682,SynthZone:0017,10,0.8,112.7,116.5,3.8
1788200879.777,SynthZone:0039,10,1.0,116.6,121.0,4.3
