зона,величина,n,средно,ст_откл,мин,p05,медиана,p95,макс
urn:ngsi-ld:Zone:001,soilmoisture,14046,67.95,15.71,34.8,42.6,65.9,88.5,100.0
urn:ngsi-ld:Zone:001,soiltemperature,14046,26.55,2.46,20.2,22.2,27.0,29.8,32.1
urn:ngsi-ld:Zone:001,airtemperature,14051,27.63,2.95,-12.4,22.5,28.4,31.9,40.3
urn:ngsi-ld:Zone:001,airhumidity,14051,48.29,10.61,12.7,31.6,48.0,62.9,75.2
urn:ngsi-ld:Zone:001,soilconductivity,14046,711.99,200.32,310.0,418.0,707.0,1083.0,1736.0
urn:ngsi-ld:Zone:001,soilph,14046,6.12,0.35,3.0,5.5,6.1,6.7,8.2
urn:ngsi-ld:Zone:001,waterlevel,14050,66.97,35.02,0.0,0.0,82.4,100.0,100.0
urn:ngsi-ld:Zone:002,soilmoisture,14314,69.12,21.64,26.1,37.7,57.3,100.0,100.0
urn:ngsi-ld:Zone:002,soiltemperature,14314,27.16,1.86,22.0,23.9,26.3,30.2,31.7
urn:ngsi-ld:Zone:002,airtemperature,14314,27.64,2.47,21.2,23.5,28.1,31.1,41.1
urn:ngsi-ld:Zone:002,airhumidity,14314,48.35,9.98,22.0,35.0,46.0,62.6,86.0
urn:ngsi-ld:Zone:002,soilconductivity,14314,646.42,291.06,137.0,194.0,498.0,1187.0,1364.0
urn:ngsi-ld:Zone:002,soilph,14314,6.22,1.3,3.0,3.0,6.8,7.5,8.6
urn:ngsi-ld:Zone:003,soilmoisture,14360,51.19,20.6,15.3,17.7,48.6,89.3,100.0
urn:ngsi-ld:Zone:003,soiltemperature,14360,28.63,2.4,20.8,24.4,29.1,31.9,33.8
urn:ngsi-ld:Zone:003,airtemperature,14360,28.15,2.59,21.5,23.8,28.7,31.9,41.7
urn:ngsi-ld:Zone:003,airhumidity,14360,46.31,11.95,13.0,30.0,44.0,65.0,76.0
urn:ngsi-ld:Zone:003,soilconductivity,14360,497.54,169.04,46.0,169.0,494.0,794.0,974.0
urn:ngsi-ld:Zone:003,soilph,14360,6.02,0.48,3.0,5.2,6.1,6.7,8.6
